IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.2.181,2082,2082,false,HKG,Asia Pacific,Hong Kong,333,0.00
8.218.204.128,2095,2095,false,HKG,Asia Pacific,Hong Kong,333,0.00
8.217.159.210,2095,2095,false,HKG,Asia Pacific,Hong Kong,334,0.00
8.217.193.25,8080,8080,false,HKG,Asia Pacific,Hong Kong,334,0.00
8.217.221.165,2082,2082,false,HKG,Asia Pacific,Hong Kong,334,0.00
8.219.120.87,80,80,false,SIN,Asia Pacific,Singapore,334,0.00
47.242.125.241,2082,2082,false,HKG,Asia Pacific,Hong Kong,334,0.00
8.218.2.181,2095,2095,false,HKG,Asia Pacific,Hong Kong,334,0.00
47.76.80.72,2052,2052,false,HKG,Asia Pacific,Hong Kong,335,0.00
8.218.22.210,2082,2082,false,HKG,Asia Pacific,Hong Kong,337,0.00
47.76.32.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,337,0.00
47.243.107.148,80,80,false,HKG,Asia Pacific,Hong Kong,337,0.00
8.217.164.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,338,0.00
47.242.232.14,8080,8080,false,HKG,Asia Pacific,Hong Kong,340,0.00
47.76.146.1,80,80,false,HKG,Asia Pacific,Hong Kong,341,0.00
47.242.232.14,8080,8080,false,HKG,Asia Pacific,Hong Kong,341,0.00
8.219.120.87,8880,8880,false,SIN,Asia Pacific,Singapore,341,0.00
47.242.17.250,2082,2082,false,HKG,Asia Pacific,Hong Kong,342,0.00
47.76.80.72,8080,8080,false,HKG,Asia Pacific,Hong Kong,343,0.00
8.217.159.210,80,80,false,HKG,Asia Pacific,Hong Kong,344,0.00
8.218.174.118,8880,8880,false,HKG,Asia Pacific,Hong Kong,345,0.00
8.218.11.90,2095,2095,false,HKG,Asia Pacific,Hong Kong,346,0.00
8.217.49.34,8880,8880,false,HKG,Asia Pacific,Hong Kong,351,0.00
47.76.80.72,8880,8880,false,HKG,Asia Pacific,Hong Kong,351,0.00
47.76.37.57,2086,2086,false,HKG,Asia Pacific,Hong Kong,354,0.00
8.218.18.235,2086,2086,false,HKG,Asia Pacific,Hong Kong,355,0.00
47.242.59.216,8880,8880,false,HKG,Asia Pacific,Hong Kong,355,0.00
47.76.146.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,355,0.00
47.242.171.94,2095,2095,false,HKG,Asia Pacific,Hong Kong,355,0.00
8.218.207.169,2082,2082,false,HKG,Asia Pacific,Hong Kong,357,0.00
47.243.173.187,80,80,false,HKG,Asia Pacific,Hong Kong,357,0.00
8.210.156.6,8443,8443,true,HKG,Asia Pacific,Hong Kong,360,0.00
8.218.207.169,8080,8080,false,HKG,Asia Pacific,Hong Kong,360,0.00
47.76.80.72,8880,8880,false,HKG,Asia Pacific,Hong Kong,361,0.00
8.217.164.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,362,0.00
8.210.39.96,8880,8880,false,HKG,Asia Pacific,Hong Kong,363,0.00
8.210.146.108,80,80,false,HKG,Asia Pacific,Hong Kong,365,0.00
47.76.94.15,2086,2086,false,HKG,Asia Pacific,Hong Kong,367,0.00
8.218.174.118,2052,2052,false,HKG,Asia Pacific,Hong Kong,368,0.00
47.243.173.187,2052,2052,false,HKG,Asia Pacific,Hong Kong,369,0.00
8.210.39.96,2052,2052,false,HKG,Asia Pacific,Hong Kong,369,0.00
8.217.49.34,8080,8080,false,HKG,Asia Pacific,Hong Kong,371,0.00
47.242.202.230,80,80,false,HKG,Asia Pacific,Hong Kong,373,0.00
8.217.251.62,2087,2087,true,HKG,Asia Pacific,Hong Kong,373,0.00
8.217.145.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,375,0.00
8.217.49.34,80,80,false,HKG,Asia Pacific,Hong Kong,381,0.00
47.236.130.95,8880,8880,false,SIN,Asia Pacific,Singapore,382,0.00
8.217.145.40,2095,2095,false,HKG,Asia Pacific,Hong Kong,382,0.00
8.218.11.90,2095,2095,false,HKG,Asia Pacific,Hong Kong,382,0.00
47.76.146.1,8880,8880,false,HKG,Asia Pacific,Hong Kong,384,0.00
47.242.234.127,2086,2086,false,HKG,Asia Pacific,Hong Kong,385,0.00
